"respid","issue1","issue2","issue3","issue4","issue5","association1","association2","association3","association4","association5","association6","association7","association8","association9","association10"
480,16,16,9,13,12,9,5,2,3,0,7,1,3,3,1
202,14,14,2,5,14,5,1,7,8,6,5,8,7,6,9
118,11,12,1,10,12,4,1,3,8,6,1,7,3,3,4
67,14,4,5,8,11,4,2,7,1,1,10,6,4,5,5
349,2,16,2,8,13,1,8,5,3,2,7,9,4,8,7
125,8,7,7,6,6,10,8,3,7,4,5,4,9,7,5
491,7,10,10,4,8,0,0,1,3,9,5,3,10,3,0
130,2,7,1,9,3,7,0,2,7,3,6,4,2,7,2
398,13,5,14,7,7,5,0,9,3,0,4,10,2,4,10
51,4,13,8,10,8,9,4,10,10,10,2,10,2,9,1
307,7,9,12,7,16,5,2,5,10,3,8,5,7,0,0
6,7,3,13,11,4,9,5,0,5,4,4,4,0,8,3
444,12,9,9,3,7,10,7,5,0,0,5,0,1,10,10
407,12,4,13,16,7,6,5,8,0,5,9,8,0,10,10
386,2,3,7,16,7,9,6,6,6,7,10,6,3,6,2
211,5,5,8,5,1,7,8,8,2,9,6,0,7,10,10
388,3,5,12,14,9,8,7,4,5,2,1,8,3,8,7
471,3,15,15,2,12,5,6,0,1,10,5,6,5,2,2
136,13,13,13,13,16,3,5,7,2,2,9,8,7,9,4
24,15,12,2,4,4,3,3,1,2,3,2,1,2,4,6
336,7,15,7,11,16,5,5,8,9,6,7,7,9,6,5
109,13,8,6,16,2,4,4,1,2,2,2,9,5,10,6
160,14,11,5,12,8,4,4,7,0,5,7,1,3,7,0
265,8,8,4,13,10,9,9,10,2,3,5,9,7,4,2
169,4,3,9,5,4,7,10,3,0,9,0,8,9,6,7
397,10,9,13,1,16,4,5,7,7,3,0,9,5,7,5
220,3,16,5,2,16,6,0,0,8,6,2,4,9,2,0
233,15,6,10,11,12,4,9,6,1,8,0,4,1,1,6
371,9,14,11,8,13,1,7,0,2,4,6,8,10,4,9
339,6,4,15,3,10,2,3,10,1,9,7,1,4,0,2
57,4,9,14,16,7,3,4,0,8,2,2,2,1,4,0
138,3,3,14,4,5,9,8,6,0,6,7,2,6,7,4
55,2,12,9,8,5,5,1,3,7,5,1,4,7,9,2
376,3,1,12,9,4,3,0,3,0,7,8,0,2,8,1
214,6,16,9,14,13,4,6,6,9,5,2,2,5,3,9
259,16,5,5,4,3,10,7,7,4,6,8,6,0,1,9
54,10,13,12,2,2,3,1,0,10,8,9,6,2,0,7
306,12,14,3,7,2,0,0,5,9,7,3,3,6,0,0
280,9,3,7,7,1,6,5,5,3,6,2,9,6,4,5
167,15,5,11,2,1,1,8,3,1,2,6,7,10,1,5
368,11,3,5,7,11,8,2,6,6,8,7,1,10,6,2
58,14,6,16,5,3,0,1,3,3,8,1,3,3,7,0
500,1,2,3,9,16,6,10,9,1,10,10,9,1,2,5
237,14,3,14,14,5,1,7,3,3,2,4,3,7,9,6
488,8,8,9,4,9,1,8,6,0,0,5,4,2,1,1
101,12,6,3,9,13,6,10,6,9,9,3,2,3,9,0
36,9,4,1,16,10,1,4,1,2,10,6,9,6,7,4
103,7,12,5,7,10,1,7,0,9,10,8,4,5,1,7
195,4,13,2,7,5,4,0,2,6,6,0,5,0,7,5
362,12,13,3,13,7,0,3,5,8,4,3,10,2,6,10
418,10,3,5,7,9,7,0,9,5,4,6,8,8,7,0
263,8,14,10,6,7,10,4,1,9,9,10,10,0,1,6
20,9,13,16,6,3,2,0,5,10,8,4,1,6,9,0
70,16,4,12,11,3,2,8,8,0,10,5,7,7,8,6
196,12,10,8,10,5,2,1,5,8,4,10,4,3,6,0
128,2,1,10,8,8,10,1,0,5,9,8,8,5,3,4
487,6,6,9,16,16,1,0,6,1,6,9,4,1,0,9
477,2,13,16,9,7,0,0,1,5,3,2,7,0,7,0
486,11,14,10,10,13,1,2,1,0,6,1,4,4,10,1
350,15,1,1,8,10,3,8,7,10,8,7,0,3,6,4
461,4,9,10,1,16,2,5,7,5,5,7,8,10,10,6
133,12,9,1,9,12,0,4,1,7,5,0,2,3,10,1
173,16,14,12,9,5,9,0,2,7,1,4,9,9,2,4
465,11,2,6,4,1,8,1,5,2,3,8,2,6,9,2
474,16,5,3,3,10,2,1,8,2,0,6,10,5,2,4
86,12,4,2,13,14,5,8,3,5,5,1,9,5,10,2
426,13,15,8,16,6,1,8,10,0,2,5,9,5,2,6
300,6,13,14,4,10,10,9,10,10,3,7,1,7,7,8
2,13,10,10,13,4,8,6,1,7,3,0,7,6,9,1
200,8,9,1,12,3,0,0,7,10,10,10,9,4,8,9
165,4,2,9,6,3,7,2,2,7,8,2,3,0,8,6
374,9,3,15,4,13,3,2,0,10,4,1,0,3,7,6
405,3,7,2,6,3,8,5,4,3,10,7,0,9,8,0
384,9,12,1,13,15,1,8,2,3,4,8,5,4,1,1
8,11,4,15,7,10,10,1,10,8,10,6,1,6,8,10
46,3,2,3,14,12,1,9,5,10,6,5,7,5,7,9
377,13,1,6,15,14,4,9,3,0,9,3,5,4,4,4
152,6,14,7,1,1,6,2,9,1,1,6,10,5,1,6
174,11,9,1,16,12,5,8,4,7,1,8,10,8,5,10
222,13,2,10,14,2,8,8,8,0,6,5,9,3,1,10
496,2,4,9,5,4,8,9,4,9,9,8,5,7,8,2
285,4,12,6,11,13,3,6,5,3,10,0,2,8,3,5
389,4,14,8,16,7,1,6,0,9,8,0,8,10,6,7
276,1,2,3,4,3,0,5,8,10,7,5,3,1,2,3
428,8,1,8,1,5,4,8,6,3,3,10,3,2,5,8
446,6,2,10,7,7,6,8,10,4,8,4,8,2,8,7
162,13,2,3,13,11,1,0,4,4,1,3,10,2,7,4
325,9,7,14,9,13,10,1,0,0,6,0,7,2,0,7
347,4,8,6,1,7,2,1,9,8,4,7,8,10,5,2
269,12,2,12,11,2,0,10,2,6,3,6,9,3,10,10
370,16,8,9,2,6,2,7,0,9,5,0,1,1,0,6
391,2,15,15,4,1,6,7,5,4,3,2,6,10,7,10
252,6,15,2,14,15,10,2,0,4,9,6,5,6,9,5
94,5,3,11,1,13,7,8,3,7,10,4,0,7,1,9
218,4,4,12,9,10,6,9,7,0,9,0,1,9,10,9
180,2,14,10,13,6,2,7,4,7,8,10,3,3,8,9
472,6,4,9,9,11,5,3,9,6,10,8,1,0,4,1
295,15,9,10,15,14,3,5,0,10,5,1,2,2,10,6
413,4,8,3,12,16,7,0,5,6,1,3,0,10,10,1
417,11,7,13,16,6,8,9,9,3,1,2,2,0,3,6
324,6,7,12,11,16,2,8,4,7,2,3,9,0,10,2
380,4,3,13,1,12,2,7,1,7,0,2,2,0,9,8
88,4,9,11,13,11,1,4,7,9,4,3,4,10,4,10
50,3,1,16,16,8,5,7,9,9,6,9,9,5,4,9
192,10,3,3,8,10,2,0,4,3,10,4,8,9,1,1
431,3,8,16,13,3,5,0,1,0,0,8,9,10,1,6
223,7,6,15,2,5,3,10,4,9,8,6,0,10,9,3
99,9,9,12,9,10,1,1,4,8,8,10,6,8,3,3
31,4,11,8,1,11,4,8,7,8,7,3,7,7,8,5
493,15,16,10,5,1,8,2,2,2,3,9,1,2,7,3
445,11,3,15,1,6,6,6,9,5,6,8,4,7,4,8
414,2,5,13,6,5,4,9,7,5,4,2,3,1,5,8
66,4,8,12,15,3,10,5,6,9,3,10,7,6,1,10
402,16,12,14,9,16,8,4,10,4,9,10,2,6,1,3
498,16,9,3,6,4,8,2,7,1,9,5,8,6,8,2
317,11,16,6,10,14,0,5,5,9,3,0,8,1,6,5
229,8,3,4,4,2,8,1,1,7,8,0,2,2,3,8
344,7,4,6,12,3,6,4,7,4,6,9,8,7,8,10
230,11,11,16,13,7,8,7,8,10,10,8,2,5,6,1
429,6,5,2,13,7,10,10,9,2,4,3,8,2,4,1
212,10,11,2,13,11,9,6,4,10,0,3,5,1,9,5
181,3,12,10,9,15,1,6,9,8,10,0,4,9,8,8
278,5,14,13,2,9,7,2,0,4,1,5,2,1,1,8
158,2,4,15,5,14,4,0,7,3,10,6,10,0,6,2
110,11,14,9,15,1,5,2,0,4,4,8,8,1,0,9
427,5,5,3,9,2,1,2,0,1,8,0,0,1,7,0
283,12,3,7,9,7,6,4,8,6,6,9,2,4,0,6
467,7,8,5,15,1,1,6,9,10,8,4,3,0,5,9
90,3,12,6,16,8,4,3,9,4,8,2,4,4,9,5
139,3,12,3,11,10,1,4,6,10,10,8,7,2,10,3
463,16,1,7,10,5,0,7,7,6,7,5,8,0,4,2
439,9,13,11,4,11,9,9,9,7,10,6,1,10,8,0
392,10,9,7,9,14,2,7,1,3,9,7,3,4,1,6
85,8,3,2,11,5,5,7,5,10,10,9,4,4,0,5
497,5,9,5,2,3,9,2,0,1,5,8,3,2,4,5
470,14,5,8,3,2,9,10,0,0,0,9,10,10,1,4
279,10,3,6,9,10,3,2,0,5,0,10,9,1,4,6
143,10,9,3,4,13,1,10,0,6,3,1,1,9,5,7
260,1,3,10,9,9,6,4,9,3,4,6,7,4,4,8
331,8,5,13,1,2,5,9,6,1,0,9,5,6,10,5
21,13,9,13,2,10,7,3,10,2,7,0,7,0,3,10
132,5,1,10,7,3,0,3,10,5,6,9,5,2,0,9
327,9,9,7,13,14,9,4,7,1,7,1,4,6,10,3
299,6,9,13,5,13,7,4,7,8,5,8,10,1,8,2
495,7,10,6,1,12,8,3,2,5,9,8,9,10,7,3
29,2,14,5,3,16,1,4,7,6,4,6,0,2,3,3
93,3,4,10,14,8,4,10,8,7,10,5,10,3,1,8
293,4,15,14,3,8,2,4,10,1,8,0,0,10,9,2
379,12,7,6,10,10,6,10,6,1,8,9,3,1,7,5
455,2,6,11,7,12,8,9,2,9,3,4,0,5,0,6
186,14,2,8,6,15,1,6,1,4,7,1,9,9,7,3
451,13,10,1,8,4,7,1,1,2,2,5,9,7,9,3
92,9,10,12,4,7,2,4,4,3,6,10,3,4,4,8
153,16,10,4,14,11,0,0,8,10,7,9,4,4,8,1
76,13,8,10,12,14,5,7,2,6,0,10,10,2,2,10
482,5,11,4,14,13,7,6,10,2,5,7,8,6,9,0
340,13,11,3,8,14,9,8,1,9,4,7,3,6,3,8
135,10,5,14,9,2,5,6,4,0,6,6,9,10,2,2
98,2,3,9,10,11,5,1,1,6,4,6,2,10,3,6
270,12,11,10,8,12,6,10,8,10,0,9,1,8,3,1
108,14,14,4,9,10,8,8,2,7,7,0,10,10,9,8
440,2,8,13,15,5,2,4,1,7,4,2,9,5,10,9
271,14,12,16,2,10,4,4,8,2,4,6,4,4,4,7
249,8,5,16,3,16,2,4,5,4,1,2,0,0,10,1
193,5,6,10,13,11,3,4,8,7,4,9,6,4,4,7
333,16,9,11,12,11,7,3,8,4,0,5,5,3,0,0
267,12,16,9,9,6,0,4,3,9,9,5,6,7,5,8
104,3,4,10,3,9,2,5,5,4,9,10,9,9,8,6
166,15,15,10,16,8,4,5,3,1,5,9,8,5,0,10
466,5,2,13,2,6,2,6,10,3,0,9,1,0,10,3
266,4,10,11,15,11,3,2,3,5,4,7,2,2,0,8
14,4,15,16,5,14,9,0,2,3,6,10,6,9,6,3
123,15,11,15,1,12,4,0,5,0,9,3,8,6,3,8
114,1,6,4,11,16,4,9,8,7,6,8,3,7,6,0
140,15,11,7,4,5,6,1,0,1,4,4,10,10,5,4
216,9,14,11,13,10,3,4,5,1,4,9,8,0,1,10
365,12,1,12,7,12,2,2,8,8,0,2,8,7,3,0
437,2,5,2,6,5,3,8,9,1,5,10,2,2,5,0
359,12,1,2,5,5,10,9,6,9,7,9,1,6,0,3
189,15,15,3,8,13,2,5,10,6,5,4,9,4,7,6
420,1,4,3,14,1,6,10,0,8,6,1,5,4,4,10
37,9,16,11,8,14,3,2,3,1,6,8,2,8,7,3
298,10,15,13,8,8,7,2,0,8,7,6,5,5,9,4
364,2,1,10,5,15,1,3,8,3,9,0,10,3,9,8
150,4,9,10,14,6,8,6,10,9,1,3,5,2,5,1
366,12,14,6,2,14,2,7,10,1,3,5,6,3,10,4
28,2,8,11,9,16,10,2,1,2,2,1,7,6,0,3
134,5,7,15,2,8,2,3,5,7,8,5,3,8,5,4
291,15,7,14,11,15,10,0,0,10,9,2,1,6,8,2
273,3,14,12,14,2,10,7,4,0,1,8,6,2,6,5
95,14,5,3,8,15,8,5,0,8,10,8,9,0,3,4
309,10,6,11,6,8,6,3,8,4,10,2,4,10,10,10
272,3,4,16,15,12,1,8,6,8,1,2,5,0,8,9
257,1,2,3,12,12,1,3,8,2,10,0,10,8,8,8
146,11,11,13,7,8,5,0,0,4,3,10,8,7,0,1
49,16,15,6,8,3,5,10,7,4,8,2,3,3,2,7
22,16,12,13,2,2,6,3,4,8,5,0,7,1,3,9
208,5,3,12,12,8,7,7,2,5,5,6,1,3,4,10
433,13,5,6,14,3,5,6,0,9,7,10,10,2,10,3
294,1,6,15,14,11,1,10,8,0,3,8,5,2,7,2
71,1,10,5,2,12,8,0,9,10,8,5,5,8,6,9
236,4,5,9,6,5,6,4,1,7,7,5,1,9,1,3
159,5,10,9,16,15,10,7,7,3,2,3,1,4,9,9
5,13,15,3,1,4,6,3,1,9,8,0,8,6,5,5
441,9,13,6,9,7,9,8,6,4,9,7,4,4,6,4
432,7,1,1,8,15,3,4,6,7,4,7,2,4,0,7
255,3,1,12,10,6,8,6,10,9,8,10,3,2,7,5
203,11,2,13,14,9,8,0,5,8,1,3,7,8,3,8
69,14,4,10,15,7,10,1,6,8,6,4,2,6,8,10
435,9,14,1,12,13,6,10,4,10,2,2,9,4,1,6
313,9,13,6,9,2,0,7,5,4,7,10,1,10,6,4
250,1,1,1,11,6,7,9,2,2,10,5,9,9,9,7
120,10,2,6,3,12,2,2,7,6,9,4,3,2,10,1
409,15,6,15,3,7,6,8,2,1,2,4,7,4,10,1
335,8,7,14,13,13,9,1,9,4,8,7,8,5,8,3
261,16,16,5,4,9,0,0,0,2,4,7,3,6,10,5
144,2,6,4,2,7,0,4,5,10,5,6,5,0,10,10
235,7,14,7,10,10,8,4,3,8,1,8,0,8,8,4
41,6,8,5,5,1,4,9,1,2,1,9,10,1,2,7
204,6,4,14,5,13,4,5,10,4,10,5,9,5,2,6
419,15,8,4,2,8,5,2,8,6,7,5,8,5,8,7
254,7,10,15,2,8,3,4,6,7,10,8,3,7,9,8
155,10,15,13,8,2,2,7,3,1,8,1,0,10,1,4
176,5,3,5,11,2,8,5,8,1,3,6,10,3,8,9
361,12,16,10,7,15,0,10,7,7,8,2,9,6,0,0
346,3,5,6,12,14,10,5,9,6,10,1,8,2,0,10
479,13,8,5,14,4,4,6,1,8,1,2,10,7,3,0
353,16,8,13,4,5,4,1,2,7,2,6,5,2,10,1
1,6,15,9,11,8,3,3,4,0,7,7,0,4,6,5
131,2,15,11,6,10,2,1,2,9,4,10,6,10,10,8
382,6,5,14,8,10,5,0,4,2,7,4,0,5,1,3
72,2,11,1,11,7,5,1,7,9,1,10,4,8,6,9
89,8,4,15,11,12,0,1,7,0,10,4,4,1,0,2
251,14,11,12,5,12,0,9,8,1,7,4,9,8,1,3
355,6,2,10,1,15,10,7,7,8,5,5,6,2,9,6
154,16,13,15,8,2,5,10,3,4,5,3,5,8,5,1
217,12,8,6,6,14,10,10,6,7,1,5,0,2,6,10
286,3,11,16,8,3,1,6,5,3,9,5,1,8,3,2
97,3,13,2,6,15,3,5,1,3,9,9,10,6,10,9
337,5,10,6,8,10,2,1,7,10,5,7,9,8,2,1
117,2,9,5,14,15,1,7,9,3,7,0,0,9,2,9
314,15,2,1,9,10,2,5,5,1,4,9,10,10,5,8
323,8,2,5,9,16,2,8,9,8,10,5,9,5,9,6
381,10,11,3,8,1,3,9,2,4,2,1,9,1,9,0
342,14,12,3,8,7,3,4,7,0,1,4,9,9,6,5
284,12,8,11,16,1,1,0,10,0,9,3,7,7,4,7
301,6,10,5,9,8,0,2,9,5,7,9,4,4,2,9
404,12,16,12,7,7,0,2,1,7,7,5,8,5,6,4
277,7,14,14,11,4,1,8,9,10,6,6,0,9,2,7
352,1,3,11,9,9,4,0,1,5,0,1,8,10,0,7
34,16,4,3,4,8,5,4,2,10,8,2,6,7,9,7
129,10,9,5,13,14,1,9,4,7,3,0,10,7,0,7
338,11,5,15,10,3,2,4,1,0,1,6,1,9,2,7
308,7,2,13,3,9,4,4,7,5,0,10,7,9,6,5
399,14,10,4,10,12,4,7,2,6,8,10,4,10,5,2
199,15,2,11,11,7,1,6,5,1,0,5,7,9,3,9
213,1,14,16,12,5,5,6,2,1,3,6,8,4,10,9
225,1,9,6,3,11,8,5,5,2,6,3,1,10,1,2
490,8,9,6,4,15,5,8,6,1,6,5,9,3,7,4
443,7,5,14,10,9,3,9,9,4,5,3,7,9,6,5
436,12,15,12,5,14,2,6,5,2,10,8,7,9,1,1
367,15,9,5,7,7,9,6,7,0,6,7,4,0,3,0
292,1,3,11,9,3,5,9,1,9,8,5,2,4,1,3
209,4,3,5,12,4,4,2,0,10,2,2,0,5,0,5
262,8,9,15,15,4,1,4,6,4,5,6,0,1,0,1
305,11,7,1,8,6,0,9,6,9,7,7,1,9,3,8
149,12,9,15,6,13,7,5,10,3,8,1,5,2,4,2
424,15,14,11,4,7,10,4,4,4,6,4,6,5,0,4
194,6,7,6,6,3,7,5,4,7,9,0,5,10,6,9
303,12,15,12,13,9,5,5,4,6,5,5,5,10,7,6
459,4,3,8,2,3,3,1,5,4,3,2,6,6,7,6
39,7,3,6,12,14,3,4,9,4,9,7,1,5,9,1
164,7,13,3,10,13,7,10,9,5,5,10,10,3,4,4
258,10,7,1,3,5,6,9,9,4,3,4,9,8,1,8
453,12,2,9,2,4,4,5,10,9,0,2,10,5,3,8
458,10,14,10,4,9,6,9,1,7,2,6,9,4,5,6
321,4,8,5,12,3,3,0,0,7,8,9,3,5,8,4
396,14,2,1,14,10,8,8,8,8,6,1,1,3,0,7
287,15,1,15,15,12,3,9,6,0,0,6,3,6,3,4
148,3,4,7,16,11,3,7,3,6,2,0,10,5,3,2
151,13,11,8,16,2,2,4,4,8,8,1,8,6,6,0
485,9,3,14,11,7,3,9,6,4,1,0,6,10,6,4
240,1,10,2,4,14,3,10,7,5,7,9,0,0,2,8
256,13,12,1,11,5,0,8,2,10,0,9,5,8,10,6
296,4,15,13,13,13,10,0,6,2,0,4,1,0,1,5
448,3,2,14,1,3,2,9,1,0,2,3,5,10,5,5
430,1,14,6,1,12,6,3,4,8,1,9,0,10,1,2
145,16,5,3,4,14,4,7,7,5,0,2,5,9,1,1
268,2,7,12,1,12,5,4,3,3,10,5,0,2,6,9
334,7,16,5,1,16,0,8,7,6,1,4,2,7,5,1
126,12,4,9,1,5,2,8,1,6,1,0,10,2,7,8
219,14,6,7,9,15,10,3,5,5,2,7,1,5,2,2
124,6,10,5,12,5,6,3,0,9,5,9,9,1,8,3
330,16,14,9,6,2,5,10,8,3,5,9,0,5,3,6
274,5,11,10,3,13,7,0,2,8,8,8,8,8,4,6
170,7,7,10,11,11,0,1,8,2,2,0,7,5,2,4
161,14,10,10,4,4,6,6,1,3,0,4,5,4,6,1
232,11,10,8,13,6,8,8,0,7,3,1,6,3,3,6
15,16,6,1,8,16,0,6,0,2,3,0,7,1,9,4
360,8,10,11,9,16,6,10,1,7,10,7,8,2,2,1
74,7,1,8,15,13,9,6,1,2,0,1,0,8,6,7
385,5,11,4,10,16,9,7,0,8,1,6,4,7,6,8
18,8,16,13,7,2,7,0,10,6,5,10,2,2,5,1
351,2,9,12,16,13,5,5,10,3,5,0,8,5,1,0
111,3,4,10,1,14,3,3,9,2,7,9,2,6,7,7
7,3,6,6,2,3,10,2,2,5,0,2,7,0,2,6
238,14,10,5,4,8,7,10,2,2,10,0,2,5,0,2
87,5,4,8,2,7,1,9,2,4,9,4,6,0,10,7
343,8,10,6,12,9,4,6,0,9,7,0,5,5,0,0
322,16,11,4,14,16,8,6,3,0,6,7,5,3,5,9
11,10,3,11,10,8,6,9,10,6,3,3,8,1,3,5
434,3,16,12,14,10,2,4,6,0,7,8,10,9,3,7
357,13,6,3,8,12,3,3,1,10,8,9,2,0,2,7
210,11,8,15,15,14,8,9,2,6,7,3,1,10,6,9
12,15,6,7,15,5,8,9,8,9,7,5,7,3,4,0
27,14,13,16,11,12,6,2,10,9,6,5,4,9,2,8
201,16,12,16,14,5,7,0,0,2,3,6,8,7,8,1
25,11,16,5,13,9,3,3,7,9,6,2,1,7,9,1
469,14,5,4,12,5,7,3,2,10,1,3,4,2,2,5
464,6,3,16,7,6,4,3,6,7,2,2,8,10,3,6
119,5,16,12,3,4,7,0,4,7,1,9,1,9,0,4
332,7,14,7,3,7,8,6,3,4,1,6,8,2,8,8
84,16,4,11,10,10,1,4,3,9,2,10,10,0,0,2
32,12,4,12,2,14,1,10,5,5,0,10,6,6,9,2
121,1,6,16,10,7,5,3,9,2,7,0,0,5,10,1
460,11,4,1,3,12,8,9,9,0,7,1,4,8,3,4
184,5,10,16,9,11,8,8,4,1,9,3,10,3,8,1
107,4,1,12,8,9,7,10,7,1,1,3,0,1,5,4
378,16,14,10,9,5,2,0,0,10,7,9,2,0,4,9
476,13,8,4,11,9,4,3,5,1,2,3,8,5,6,2
198,5,3,9,12,2,3,2,1,0,9,0,2,8,10,2
492,12,6,12,3,5,8,0,5,3,1,9,2,0,1,7
191,8,8,12,16,7,2,1,3,10,2,5,1,2,6,4
17,15,14,8,9,9,9,0,10,3,9,0,2,7,1,6
10,10,14,5,7,16,7,5,4,6,2,4,7,9,4,0
91,4,3,2,11,11,8,3,10,3,6,6,3,2,7,7
449,16,10,15,4,5,6,8,1,8,9,5,4,4,5,7
26,15,1,12,4,11,3,8,10,8,9,3,0,4,7,6
275,1,3,11,7,3,2,5,7,5,6,8,4,3,9,4
316,4,15,12,16,14,10,2,1,6,4,10,0,3,1,10
221,8,16,4,8,11,10,2,8,7,8,1,9,5,4,4
171,15,4,3,12,3,10,9,9,7,2,2,0,9,7,2
65,4,8,6,12,5,1,7,5,5,7,1,5,8,1,6
400,16,12,1,7,5,5,0,6,1,10,0,1,8,10,5
403,5,16,1,7,6,1,5,0,9,8,3,6,9,7,0
73,7,7,7,12,9,6,6,4,4,3,2,6,0,1,0
182,6,15,13,5,12,2,0,4,10,4,2,4,10,8,7
81,9,13,16,9,4,7,10,8,7,0,2,3,0,2,1
168,3,10,1,8,16,7,5,8,0,5,0,2,9,10,8
35,10,8,8,9,10,0,8,2,5,4,6,3,5,5,7
387,14,15,5,8,9,5,3,5,6,6,0,10,7,9,8
75,7,1,13,11,13,10,6,4,10,3,3,9,10,7,8
56,16,15,10,5,6,9,8,4,0,5,5,6,9,8,5
452,9,7,15,10,7,0,2,2,10,3,4,9,2,7,9
297,16,6,11,10,7,5,8,10,10,5,3,0,4,1,8
82,11,9,1,3,2,7,3,7,7,7,2,6,4,5,0
410,5,14,12,16,15,2,2,5,2,7,10,7,1,0,8
358,10,4,4,5,10,1,0,1,1,3,0,1,4,1,8
43,8,7,9,9,7,10,0,9,0,3,4,8,3,5,10
127,7,8,9,13,15,7,1,10,9,6,4,5,4,9,10
372,14,16,11,8,6,5,4,10,9,10,3,9,6,2,10
456,3,12,16,4,14,5,10,3,3,3,5,3,1,1,9
454,14,16,3,4,14,3,0,5,0,3,4,2,6,4,6
475,14,8,4,6,8,0,8,2,9,0,4,4,7,10,4
52,12,10,3,3,11,8,8,9,9,7,8,2,10,4,2
499,9,4,12,8,14,7,1,1,3,0,1,10,7,1,8
462,14,6,9,4,16,3,7,0,10,10,2,4,3,9,7
185,4,11,2,14,13,0,2,5,7,0,2,10,1,3,10
247,8,14,14,3,13,3,6,10,5,5,2,4,7,4,10
315,10,11,6,12,12,3,7,3,2,3,3,4,8,5,7
33,6,5,6,11,3,8,3,2,2,2,0,4,8,7,8
408,14,1,12,16,8,6,5,3,8,8,10,0,3,7,1
302,6,9,10,5,4,3,5,2,5,3,2,9,8,2,8
248,8,8,8,6,6,10,1,7,0,2,8,5,3,4,2
122,13,10,7,12,15,10,6,4,0,2,9,0,2,8,6
48,1,16,12,6,15,7,6,10,5,0,0,2,7,0,4
226,2,6,3,6,13,10,2,10,10,5,8,7,10,2,10
40,9,9,15,14,5,1,2,6,0,10,1,3,4,6,6
68,7,9,11,13,15,3,3,7,1,9,6,4,8,5,4
241,6,3,14,9,13,2,7,8,0,6,8,6,2,3,9
42,10,9,3,3,11,0,10,6,5,10,9,7,2,10,0
416,5,11,2,13,4,2,3,8,5,1,3,2,0,4,0
318,9,8,16,7,9,6,1,10,6,3,9,0,4,3,2
423,5,6,2,4,14,6,2,2,6,3,4,5,2,9,8
116,11,12,10,2,5,5,8,0,10,10,5,10,6,3,8
363,12,4,14,6,5,4,4,3,8,5,2,1,0,4,2
442,3,2,1,2,14,8,8,2,1,0,7,7,6,0,2
96,15,2,13,7,15,4,8,3,9,1,0,7,10,5,6
