"respid","attribute1","attribute2","attribute3","attribute4","attribute5","association1","association2","association3","association4","association5","association6","association7","association8","association9","association10"
311,15,7,15,6,2,0,1,3,10,0,2,3,2,4,6
370,4,1,15,11,9,7,3,10,1,1,9,6,0,2,3
420,10,8,11,16,7,9,6,0,5,6,5,8,3,9,5
20,2,13,3,16,9,9,4,4,7,6,2,5,10,9,8
472,1,11,3,2,15,9,0,10,3,6,1,6,2,6,10
197,13,16,12,11,4,5,7,7,9,6,5,9,8,3,10
333,3,3,3,3,1,10,10,3,9,10,4,2,7,4,2
28,15,2,4,7,3,5,9,1,2,5,3,10,8,2,4
95,14,2,9,6,7,9,8,7,2,7,0,3,9,0,9
238,12,10,10,15,15,1,7,3,4,0,9,8,4,8,0
253,8,2,2,6,14,8,4,8,0,8,4,1,6,4,10
139,11,12,8,15,14,10,10,1,5,4,8,2,2,5,6
269,12,3,13,5,11,4,9,1,8,8,2,0,10,7,7
258,11,10,14,5,11,1,0,9,7,8,6,2,8,8,2
279,14,1,5,9,9,9,3,2,7,9,4,6,2,3,2
240,12,10,1,15,9,10,3,0,4,4,2,3,3,10,10
380,6,2,10,14,7,10,2,0,1,6,5,0,3,8,7
341,15,1,4,10,7,7,1,8,5,9,2,6,9,10,7
500,8,8,15,7,4,8,2,9,9,2,4,3,7,4,6
497,13,1,7,10,14,9,1,0,0,6,8,6,3,4,6
51,8,12,9,5,3,3,8,1,8,8,6,10,8,0,0
429,14,5,7,16,5,8,4,9,4,8,10,5,4,1,8
196,10,13,3,12,10,0,4,6,0,8,4,5,3,8,2
241,7,9,5,11,4,4,8,3,1,8,7,9,6,2,9
477,3,12,5,2,3,2,9,0,1,7,9,7,10,4,2
194,16,8,15,10,11,6,1,9,4,10,4,3,4,1,2
331,16,3,9,11,9,10,9,7,5,1,6,10,4,8,2
14,12,11,5,16,8,1,1,0,9,1,9,5,2,2,10
226,14,9,3,13,2,5,1,0,4,1,6,7,2,6,0
158,4,13,12,13,6,6,0,10,5,2,4,10,2,4,9
318,6,6,13,3,16,8,5,1,8,1,2,7,1,3,9
92,1,11,14,15,4,6,3,2,6,5,1,10,5,10,4
11,2,3,5,9,10,8,2,6,7,7,2,8,8,0,2
177,12,1,3,10,6,4,6,7,9,6,5,1,6,10,1
423,1,16,5,15,2,1,6,10,3,4,3,6,9,6,3
40,16,10,16,9,8,6,3,8,6,0,1,2,6,2,6
221,16,10,14,7,2,2,3,0,4,9,10,2,3,9,7
360,5,9,15,3,2,1,5,10,0,6,7,0,8,4,7
219,16,6,8,7,1,6,9,5,3,7,3,6,6,9,8
357,16,6,8,10,5,3,4,1,0,7,6,6,7,7,2
300,14,9,12,7,2,10,5,9,6,10,5,10,3,7,2
82,5,12,1,6,9,3,6,4,1,6,10,6,4,5,6
239,3,4,12,9,10,10,3,7,4,8,4,5,0,9,9
181,16,15,8,5,13,10,1,9,8,10,10,3,2,9,0
150,12,1,16,6,11,8,0,10,6,9,6,7,0,3,4
367,5,11,6,1,11,5,6,1,7,2,2,8,10,6,3
306,13,12,2,9,1,7,6,2,10,1,7,9,3,9,8
272,11,5,3,7,10,9,0,4,7,6,8,6,0,3,0
26,1,9,13,11,15,3,0,5,6,9,4,9,8,6,5
110,5,2,16,13,16,0,7,10,4,2,6,10,1,3,5
434,10,10,3,8,1,9,6,1,7,1,10,2,2,4,4
249,1,1,8,10,2,8,1,3,3,9,6,8,4,7,6
393,1,12,2,15,10,5,10,6,1,5,3,0,4,0,10
499,12,16,12,4,6,0,7,7,2,3,9,1,5,3,5
460,6,8,1,14,15,4,4,6,6,5,2,1,7,2,3
351,11,12,9,9,6,7,9,9,0,2,9,2,0,6,1
81,15,14,1,2,13,7,1,3,1,3,9,1,9,9,4
49,7,11,15,12,12,9,4,1,8,1,1,5,2,9,1
387,3,7,16,16,11,7,7,9,10,4,8,9,2,6,8
369,13,15,15,10,16,7,8,7,10,2,3,2,8,5,8
170,1,10,3,16,11,5,5,3,0,8,4,3,5,3,7
123,7,2,15,13,5,8,3,1,8,5,6,5,7,9,2
155,2,9,11,2,13,8,5,2,3,9,8,5,5,0,0
355,1,11,11,8,3,10,1,1,10,7,3,0,5,1,9
465,1,16,5,12,10,8,8,4,0,7,6,1,4,10,7
225,2,15,12,12,16,2,3,8,8,9,5,6,6,0,5
383,12,6,8,6,2,10,10,0,10,3,10,3,7,10,0
231,12,16,7,12,11,4,8,8,7,7,1,2,4,1,10
73,12,3,8,5,16,10,9,2,5,8,5,3,8,1,8
169,11,14,6,5,6,3,4,7,6,5,4,0,3,8,5
18,8,1,10,7,11,10,9,8,9,7,6,3,1,1,2
290,13,1,9,14,5,9,0,3,7,9,9,10,9,2,0
116,16,11,16,11,10,7,3,5,10,8,10,4,0,6,1
151,15,1,9,12,1,1,10,6,1,3,10,6,6,9,1
175,16,4,3,16,14,6,7,10,3,2,3,10,10,2,0
162,3,1,10,2,2,6,0,8,5,8,10,3,8,4,4
305,15,14,10,1,1,4,5,4,8,0,3,7,8,1,6
97,1,4,7,2,8,8,6,7,8,7,0,0,10,5,0
122,3,8,1,1,1,0,7,3,6,3,10,1,8,9,8
216,11,10,15,3,8,2,4,0,5,2,3,1,0,4,2
101,15,7,16,14,12,3,10,0,3,7,0,1,1,2,7
10,5,11,12,11,11,9,0,2,3,4,0,4,7,6,5
457,15,12,12,15,12,7,3,1,2,4,4,9,8,8,7
55,16,1,11,11,10,2,0,5,10,5,1,1,8,10,0
114,10,15,15,14,2,6,0,2,2,2,1,5,10,10,7
386,2,10,14,10,6,5,7,7,2,5,7,2,4,2,2
263,6,1,10,9,7,5,6,2,2,5,0,0,0,6,8
133,4,4,6,4,9,7,2,5,3,0,6,7,3,3,2
312,9,10,13,13,11,1,4,9,5,8,0,4,8,3,10
43,12,6,2,2,5,6,8,5,6,2,6,10,5,0,6
35,16,9,8,1,13,9,3,0,8,0,9,6,4,3,1
71,10,12,8,9,14,0,10,9,0,1,7,7,9,3,2
446,16,13,2,1,9,4,7,5,3,7,5,6,0,3,8
343,14,15,16,3,3,3,8,5,2,9,2,3,1,4,9
349,11,9,5,12,6,0,6,6,5,5,1,5,5,8,8
294,2,1,3,8,10,9,6,9,0,8,5,8,1,9,6
78,16,14,6,3,9,1,7,7,5,5,9,3,1,5,4
391,8,5,4,12,8,3,4,10,10,2,0,6,4,0,2
473,10,7,11,7,1,0,9,4,7,6,7,6,0,9,5
313,16,11,9,4,8,10,5,5,1,3,9,6,1,6,9
292,5,9,14,6,6,8,2,7,5,7,6,5,10,3,3
245,14,7,13,15,7,2,6,8,8,2,5,7,5,3,3
344,6,13,16,5,11,5,9,0,5,9,6,10,0,10,2
301,6,15,5,7,6,4,8,10,8,9,10,8,5,3,2
67,5,2,6,9,11,2,7,7,1,10,0,1,5,0,2
259,15,14,6,11,11,5,5,1,8,8,8,3,1,10,6
478,6,15,11,14,13,4,9,7,6,1,10,1,3,6,4
274,9,9,9,14,8,0,3,1,1,0,0,5,8,8,9
32,16,16,13,8,15,5,2,7,9,6,0,8,1,10,1
248,7,16,15,14,7,4,8,7,7,0,7,10,0,3,2
468,1,6,7,12,9,1,5,0,8,6,8,8,1,5,3
176,1,9,8,10,13,0,4,9,10,2,9,5,10,9,6
210,2,9,15,15,3,8,5,5,4,4,8,6,10,5,5
66,9,6,7,13,4,1,4,2,1,0,10,6,5,1,10
418,2,15,8,1,16,5,8,10,1,6,1,4,6,6,1
204,12,11,8,3,4,2,4,4,0,8,5,9,7,1,1
13,3,8,10,8,5,8,5,0,9,1,2,8,5,4,0
109,7,16,14,13,4,3,6,2,0,9,6,2,7,1,7
74,3,7,10,13,12,3,1,2,10,10,6,1,1,9,3
417,4,10,12,3,11,3,7,2,5,7,1,9,8,1,6
492,13,4,12,6,11,6,2,5,6,5,1,5,1,8,2
322,13,15,12,3,5,3,3,7,10,3,8,2,5,4,10
409,13,11,10,14,5,7,2,10,6,5,5,3,9,7,6
254,1,10,5,12,8,10,4,1,8,8,6,1,3,2,6
265,12,11,12,16,4,0,1,0,7,3,4,7,7,0,9
427,3,10,1,16,12,3,4,5,10,2,6,6,5,8,0
445,12,2,4,5,5,7,7,6,8,7,10,10,1,0,1
388,6,10,2,12,12,10,0,6,5,1,8,3,4,9,3
430,6,14,6,1,3,10,3,5,6,5,0,1,9,1,8
235,8,16,5,5,13,8,6,10,10,2,5,3,9,4,8
284,11,4,16,7,14,7,9,0,7,0,1,3,1,10,9
154,12,3,6,6,3,8,10,9,10,6,0,6,4,1,8
432,16,9,16,10,8,10,9,9,5,10,5,6,3,0,4
141,1,2,8,11,3,0,9,0,4,5,1,9,3,4,6
408,6,5,2,1,16,3,9,3,6,5,5,1,9,1,8
8,11,11,10,15,2,1,9,10,6,5,9,3,1,1,3
120,4,4,2,4,2,0,2,2,5,7,9,3,4,5,9
459,13,13,11,7,2,6,0,7,6,7,10,3,4,4,8
34,4,1,13,5,14,9,3,8,2,7,6,7,4,3,0
262,2,8,2,16,14,1,3,1,7,10,7,6,10,5,6
47,14,14,8,11,13,2,5,7,9,4,2,0,3,4,4
437,7,1,8,3,3,4,8,5,6,3,0,9,3,0,6
280,5,12,13,12,1,6,9,3,10,4,6,5,8,3,10
379,2,13,5,14,4,7,2,4,1,1,10,2,1,8,2
481,13,15,11,5,10,4,1,8,4,4,8,0,5,7,4
340,14,15,3,1,12,10,3,8,4,8,0,3,10,2,6
410,10,5,4,7,9,2,4,0,7,4,6,4,9,3,5
336,1,15,2,2,14,8,5,8,9,8,8,2,10,2,9
242,2,2,16,16,13,7,10,0,7,8,8,4,10,3,8
127,7,7,4,14,16,4,0,7,9,7,8,10,9,6,10
435,16,11,4,2,10,6,0,6,1,0,2,2,8,5,6
121,12,10,11,15,8,5,2,3,7,7,8,2,3,8,3
328,16,1,4,6,8,2,4,2,9,3,6,7,0,1,1
126,14,8,13,10,5,5,5,1,3,7,8,6,3,7,4
362,12,8,3,2,12,3,7,5,9,5,3,3,10,3,0
440,10,8,11,11,7,9,8,5,4,6,6,0,5,8,4
166,9,12,4,9,10,8,1,2,3,8,7,0,0,5,4
452,4,11,10,4,7,10,3,9,4,7,2,6,5,8,1
243,6,8,13,11,1,0,4,3,4,7,3,0,7,6,2
308,11,11,8,1,7,7,9,7,5,0,1,4,8,5,5
273,8,3,3,16,3,3,10,9,3,8,7,1,2,0,9
144,10,6,13,16,8,3,2,1,6,6,2,4,3,9,3
137,5,9,3,6,5,9,6,9,6,9,6,3,6,0,7
80,11,4,8,2,4,6,6,9,0,7,0,9,7,1,9
319,3,13,10,6,15,4,6,9,4,10,9,10,2,8,9
185,12,1,2,13,1,3,4,3,6,2,7,6,0,4,0
234,4,5,14,3,14,3,5,7,5,7,2,2,9,1,3
136,3,5,9,12,9,3,9,9,10,0,5,4,7,0,4
237,11,11,11,3,9,1,8,2,7,4,0,2,0,1,5
407,7,5,10,15,16,10,6,3,8,8,0,7,0,9,7
16,13,7,8,3,11,9,5,8,10,1,2,10,10,8,1
405,12,7,16,7,16,2,10,1,0,8,10,10,5,4,5
52,15,14,10,3,5,7,3,3,6,2,10,0,1,7,10
381,16,14,13,8,10,0,10,3,1,9,1,9,0,4,1
167,3,10,3,14,12,2,3,9,2,9,5,10,8,2,5
19,6,14,13,6,16,3,5,6,0,3,9,4,8,8,5
39,10,3,4,14,5,2,1,0,2,5,4,4,10,10,7
60,13,4,2,9,13,0,8,5,9,8,9,8,10,7,6
397,15,8,10,13,6,1,0,1,4,9,4,3,1,10,8
293,1,11,3,6,3,3,1,3,4,2,10,9,1,7,2
21,4,13,10,16,1,9,10,10,5,4,1,9,5,2,9
48,10,13,13,6,6,2,7,1,9,8,3,6,3,0,8
233,15,2,3,13,4,7,8,7,6,0,6,5,8,7,0
140,4,13,16,7,4,5,2,5,0,9,6,2,8,9,7
286,6,16,16,15,12,6,3,0,5,0,4,6,7,4,9
184,3,9,15,15,14,7,9,5,0,9,9,2,7,2,2
124,9,13,14,1,8,6,5,2,1,8,6,1,7,2,8
268,12,4,14,1,14,9,6,8,3,9,9,2,7,6,1
449,7,13,2,16,16,6,1,4,1,9,9,4,8,8,0
27,15,6,2,7,14,4,7,7,5,6,3,6,5,7,3
138,1,7,5,14,2,1,0,4,1,6,10,10,6,2,3
320,3,15,15,8,4,0,3,8,1,0,8,9,4,10,8
450,4,1,10,8,14,5,0,9,8,5,1,3,8,0,5
189,10,9,5,3,2,10,3,10,8,2,1,8,7,4,7
61,16,15,7,12,14,3,3,5,7,10,2,9,5,6,9
392,4,5,3,9,10,8,6,1,3,1,1,9,5,7,3
62,14,7,14,13,8,1,5,9,1,9,6,9,5,9,3
130,1,11,12,11,15,3,0,1,6,9,6,1,3,6,8
77,4,12,15,13,8,0,2,6,1,4,7,6,9,4,1
366,1,8,11,6,15,0,6,4,5,2,8,10,6,2,1
428,3,5,9,16,3,6,2,7,0,9,7,0,3,4,5
247,12,8,4,16,14,2,10,5,2,9,9,6,4,4,1
474,7,9,11,12,4,5,3,1,1,10,6,8,0,9,6
94,14,8,11,4,7,0,6,8,10,4,4,8,10,8,1
348,1,5,13,1,16,9,3,0,9,3,8,10,3,0,4
257,5,6,8,15,10,9,8,6,8,10,1,1,7,8,10
255,1,9,14,9,5,7,1,1,6,6,8,0,7,2,0
266,4,4,10,12,8,4,9,4,0,1,2,0,7,9,2
180,15,11,15,2,3,8,4,0,3,1,10,6,10,3,9
179,16,16,6,11,8,9,9,7,0,6,7,2,2,4,3
307,12,10,5,5,12,9,7,0,9,4,8,3,2,7,4
119,12,16,16,6,1,0,3,2,6,1,6,5,4,3,9
332,8,4,10,6,11,3,5,8,9,2,3,8,0,9,3
495,1,15,7,7,5,7,4,2,5,7,7,4,4,9,7
444,13,14,11,14,2,7,6,9,10,8,9,4,0,9,4
182,14,3,2,8,13,9,4,8,8,1,9,2,6,10,6
1,4,14,2,13,11,9,0,3,5,10,4,10,6,7,6
439,2,12,6,2,15,1,0,8,6,9,10,10,1,1,2
389,3,3,4,10,16,3,4,3,3,4,6,1,1,1,5
87,15,9,11,12,15,1,3,10,1,4,4,4,0,5,2
339,1,9,5,9,15,9,0,8,2,1,2,2,10,4,4
9,1,16,4,10,9,0,0,8,9,5,4,4,7,9,2
148,2,10,8,6,3,3,7,2,3,3,7,6,6,6,2
198,11,14,4,15,6,1,5,10,9,10,6,3,10,5,5
288,5,8,15,4,10,0,2,4,5,2,4,6,6,6,7
491,1,11,4,16,4,4,5,2,9,0,4,7,5,4,9
298,7,2,8,16,4,3,7,6,7,6,4,6,0,10,10
315,1,6,10,7,8,2,6,8,5,10,4,10,8,7,1
438,13,11,10,3,12,4,10,0,7,2,5,0,5,8,6
377,6,4,3,5,11,0,8,0,1,7,10,2,1,0,6
390,14,6,15,1,2,7,10,5,9,5,4,4,4,0,9
7,5,14,9,15,10,7,2,4,1,6,3,10,3,8,1
283,11,12,15,12,10,2,1,4,10,9,7,0,4,0,2
37,13,13,15,16,3,7,5,9,0,6,7,2,4,8,1
45,8,14,16,12,13,5,4,5,2,5,1,7,0,4,10
470,8,2,8,10,5,6,4,2,5,2,5,3,2,2,5
163,1,12,4,2,11,3,7,7,4,3,0,7,8,5,5
398,16,15,4,16,13,3,1,1,9,5,8,10,4,4,1
373,8,15,7,9,9,9,5,7,1,3,5,4,3,2,8
402,11,10,6,14,2,8,3,0,7,3,6,1,4,4,6
100,7,16,12,7,9,4,4,2,10,1,2,6,5,9,2
33,10,9,9,13,13,3,8,2,8,4,8,8,8,9,10
455,6,16,5,2,16,8,0,1,6,10,2,2,1,10,8
403,2,15,6,2,13,10,10,2,10,9,6,0,9,0,10
281,15,16,9,8,4,3,9,9,3,9,4,4,1,3,0
442,5,7,3,8,9,5,1,9,10,1,0,9,8,4,7
165,12,6,10,4,16,4,1,1,0,1,0,0,1,4,4
278,16,3,16,3,8,10,1,2,6,6,8,6,3,7,0
498,13,6,10,3,14,9,7,5,8,8,2,4,4,9,9
443,15,7,7,15,6,10,7,6,5,8,5,0,8,1,0
183,7,5,7,7,4,5,0,0,10,4,6,9,2,8,6
134,14,12,11,11,7,5,8,6,9,1,7,10,4,1,10
157,2,12,4,11,14,9,9,9,2,0,6,0,8,9,2
484,12,13,10,15,11,0,0,4,3,6,9,8,1,3,0
131,7,9,14,4,14,9,4,10,4,8,2,4,3,8,1
145,5,4,2,8,5,10,0,4,4,1,9,8,1,7,2
230,5,7,8,4,1,8,10,2,10,2,0,2,2,8,0
75,7,2,6,10,9,10,0,0,10,10,0,1,1,8,8
15,11,13,2,12,4,9,6,7,3,4,6,3,5,1,6
479,11,13,14,14,5,7,8,7,8,8,9,10,8,4,5
152,11,14,8,4,16,2,3,0,1,7,3,0,3,2,2
153,8,15,15,6,16,5,1,4,8,8,8,0,5,5,1
413,3,10,15,11,1,1,1,7,2,5,9,4,7,1,5
395,13,1,2,7,10,8,7,4,10,10,1,1,10,7,4
68,7,4,5,14,4,3,5,4,10,10,5,8,3,0,6
299,9,14,6,1,9,9,1,4,9,5,4,1,1,7,5
415,12,10,16,11,14,3,7,7,6,1,10,8,4,8,10
261,4,9,13,1,2,6,4,0,10,6,8,5,3,6,8
193,16,15,11,5,7,0,0,3,8,3,2,5,8,9,5
24,11,4,1,10,14,0,7,10,2,9,4,6,8,5,10
201,2,7,1,2,6,10,5,0,2,1,9,3,0,5,2
147,1,9,7,5,6,10,10,2,1,3,7,7,7,9,10
335,6,11,3,15,6,9,0,6,7,8,1,3,10,1,6
203,2,6,5,11,3,9,3,4,5,10,4,9,2,6,0
2,2,5,2,1,9,2,6,8,8,9,1,2,3,7,4
36,11,5,4,8,10,7,10,6,4,7,5,7,6,2,1
412,12,5,5,11,14,5,1,5,2,7,10,7,1,2,9
174,4,10,7,10,16,10,5,0,3,3,2,6,4,8,0
84,2,6,2,14,2,2,2,6,2,4,3,7,7,7,8
256,16,1,15,9,15,4,0,9,4,1,6,0,0,7,2
282,7,16,8,1,15,2,0,6,8,1,8,1,1,4,1
212,8,15,5,12,2,4,9,3,7,8,1,9,5,2,8
93,2,5,12,3,3,6,8,7,6,0,7,6,0,1,10
31,2,2,3,14,4,1,3,5,6,1,2,6,8,8,10
376,11,3,11,5,15,7,2,0,2,5,7,4,7,10,7
113,1,8,1,6,8,2,0,2,3,7,2,8,7,0,7
359,15,15,16,6,4,2,1,8,5,7,5,7,0,0,1
365,7,5,12,14,5,6,3,9,1,8,0,6,3,8,4
135,1,15,4,4,5,4,1,6,4,7,4,9,1,3,3
431,11,6,12,11,12,7,8,2,4,3,6,10,9,5,9
487,12,14,7,15,1,1,10,3,9,9,3,1,7,5,5
462,13,5,2,6,3,4,9,8,6,3,7,8,6,4,0
211,2,15,4,3,2,10,2,9,8,7,5,4,4,0,9
483,13,4,13,16,10,10,7,9,9,4,1,4,7,10,5
195,8,12,11,3,5,0,5,10,7,7,0,4,7,4,7
436,4,11,12,7,2,8,0,2,10,6,8,7,6,7,4
382,5,8,12,12,4,4,9,5,4,0,3,1,8,4,10
447,14,14,2,2,5,10,9,1,5,5,8,10,10,7,3
98,2,12,10,10,4,4,2,5,4,0,9,4,3,9,9
115,3,9,11,4,8,0,3,9,3,7,0,3,9,1,8
424,10,4,5,8,6,8,6,9,1,5,4,6,7,7,7
454,3,12,2,15,2,10,8,1,8,8,10,2,8,0,8
6,2,3,6,12,6,0,0,7,1,0,9,3,0,4,0
146,11,3,4,7,7,0,0,3,10,9,3,6,8,1,4
178,12,4,2,10,12,8,9,0,4,3,9,10,3,8,5
411,2,5,9,16,10,3,5,2,9,4,6,9,9,9,4
59,15,3,2,15,7,10,6,10,7,3,2,7,6,1,4
323,2,10,13,8,6,4,8,9,8,5,6,6,1,8,0
218,6,9,3,11,15,5,8,7,1,5,1,2,8,3,10
213,8,8,16,14,10,1,3,8,8,2,8,1,6,5,5
89,11,9,13,12,2,4,7,9,1,2,8,0,5,2,3
291,1,3,13,11,5,8,0,4,8,10,1,10,6,1,8
482,5,9,6,5,13,2,7,2,4,2,1,7,0,2,8
394,14,4,15,9,1,3,9,9,4,10,5,1,3,5,4
50,2,7,10,12,6,1,5,8,8,10,8,0,0,7,5
414,2,10,15,3,4,8,4,0,1,0,1,3,9,0,0
419,7,14,12,11,9,3,4,9,9,2,8,5,7,5,6
302,7,6,3,11,8,8,0,4,8,8,1,10,0,0,3
277,10,9,6,15,11,0,7,10,0,10,6,9,0,0,1
3,16,12,6,16,6,8,9,2,2,3,8,10,1,0,0
232,16,3,13,9,8,4,2,9,6,7,10,8,4,6,9
337,1,7,3,4,10,7,3,3,10,0,3,9,2,7,7
217,6,4,15,2,7,0,5,3,9,0,8,3,3,0,9
289,9,2,16,9,11,6,7,8,6,0,9,0,6,1,5
321,16,7,13,16,12,5,8,3,6,1,0,10,3,10,6
4,8,7,8,3,16,6,2,2,4,6,7,8,3,1,2
22,9,2,5,2,4,0,0,10,5,4,7,2,2,9,6
215,15,3,11,12,15,7,0,9,6,4,2,4,9,10,1
202,4,5,13,15,4,8,3,4,2,0,0,6,3,9,1
186,10,1,12,14,14,9,3,8,1,2,4,5,2,2,6
353,15,13,10,8,7,7,1,4,1,3,0,5,5,4,8
260,15,8,2,3,6,4,10,1,7,7,7,5,8,3,7
489,8,3,12,11,5,9,6,8,0,10,5,10,0,5,1
494,8,6,5,13,11,3,2,1,6,5,2,5,1,1,0
251,5,8,2,4,7,2,5,2,5,8,2,2,3,1,3
23,6,13,15,3,11,8,5,1,3,6,7,0,3,0,3
368,7,8,4,2,10,5,10,9,7,10,6,4,3,10,5
485,10,10,15,2,13,7,2,9,1,0,8,5,0,5,9
271,11,2,4,15,5,10,4,5,5,2,6,1,5,5,3
371,3,7,14,6,4,3,9,8,0,9,0,5,3,4,6
310,4,14,13,10,9,10,4,2,10,1,0,8,6,8,5
448,6,2,4,8,14,2,6,2,10,7,0,10,2,8,7
12,15,9,9,1,4,9,10,0,2,5,9,1,8,10,3
103,10,4,6,10,8,2,1,7,4,3,9,6,1,6,9
309,10,6,4,8,13,1,7,10,6,5,9,4,5,9,10
352,16,7,4,15,13,4,5,4,4,8,9,5,0,1,3
164,2,5,10,2,10,0,4,10,4,8,4,9,3,4,10
125,12,14,14,9,16,2,2,3,3,2,9,2,10,1,10
327,10,12,5,4,16,4,3,4,6,6,8,10,8,10,9
421,8,3,14,2,12,10,0,8,0,8,3,6,8,9,4
467,6,9,16,9,14,0,2,8,6,7,3,5,5,3,5
325,11,5,6,11,12,4,4,8,1,7,2,8,3,3,7
29,12,7,2,7,1,0,1,4,3,0,8,8,9,8,9
270,11,16,14,10,6,2,3,7,8,2,7,1,1,1,6
490,14,16,10,3,12,7,3,2,4,3,0,1,1,2,7
